actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
188.84799194335938,0.6207935214042664
205.9004364013672,0.8152155876159668
219.5424041748047,1.0253747701644897
236.59483337402344,1.2362021207809448
250.2367401123047,1.469904899597168
263.87872314453125,1.7067759037017822
277.5206298828125,1.950183629989624
291.16259765625,2.202451705932617
301.39404296875,2.465191125869751
304.80450439453125,2.71604061126709
304.80450439453125,2.9133496284484863
301.39404296875,3.0501389503479004
301.39404296875,3.1215600967407227
301.39404296875,3.171215057373047
301.39404296875,3.205789804458618
301.39404296875,3.2299246788024902
297.9835205078125,3.2468338012695312
297.9835205078125,3.2355120182037354
294.57305908203125,3.227879524230957
287.7520751953125,3.1998298168182373
284.34161376953125,3.135497570037842
274.11016845703125,3.0690083503723145
263.87872314453125,2.9583117961883545
0.0,2.819439172744751
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
193.2340545654297,0.581730306148529
237.5703582763672,0.8063253164291382
268.26470947265625,1.1766167879104614
295.54864501953125,1.6083661317825317
322.83245849609375,2.0815865993499756
346.70587158203125,2.600827217102051
370.5793151855469,3.1421897411346436
394.4527282714844,3.7121376991271973
404.6841735839844,4.315138816833496
408.0946960449219,4.826128959655762
