actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,-0.039315663278102875
-0.07562292367219925,-0.05079568549990654
-0.08231135457754135,-0.05907142907381058
-0.08627808094024658,-0.06681807339191437
-0.0882614403963089,-0.07330474257469177
-0.09123647958040237,-0.07829030603170395
-0.09520316869020462,-0.08260569721460342
-0.09851530194282532,-0.08680485188961029
-0.10249559581279755,-0.09070833772420883
-0.10747094452381134,-0.0946374237537384
-0.11344131827354431,-0.09891526401042938
-0.11841660737991333,-0.10375728458166122
-0.12584461271762848,-0.10864372551441193
-0.13289155066013336,-0.11437734961509705
-0.13993841409683228,-0.12054874747991562
-0.14597854018211365,-0.1270119696855545
-0.15403196215629578,-0.14023342728614807
-0.15489612519741058,-0.14785294234752655
-0.16214215755462646,-0.15020066499710083
-0.16938813030719757,-0.15418116748332977
-0.17663399875164032,-0.1592501550912857
-0.1838797926902771,-0.17132310569286346
-0.20496012270450592,-0.18002858757972717
-0.2124805897474289,-0.18833909928798676
-0.21812087297439575,-0.19638626277446747
-0.22470109164714813,-0.21065445244312286
-0.22936350107192993,-0.21507073938846588
-0.23573365807533264,-0.21983499825000763
-0.24119369685649872,-0.22513455152511597
-0.24574369192123413,-0.23048759996891022
-0.26237788796424866,-0.2355729639530182
-0.2671300768852234,-0.24450793862342834
-0.27093181014060974,-0.25204867124557495
-0.2756839096546173,-0.25834304094314575
-0.2794855535030365,-0.2641233503818512
-0.2832871675491333,-0.26924407482147217
-0.311274915933609,-0.2739250957965851
-0.3153965175151825,-0.2863750457763672
-0.3184877038002014,-0.2960488796234131
-0.3195180892944336,-0.30352848768234253
-0.3195180892944336,-0.30885833501815796
-0.26082804799079895,-0.3124115765094757
-0.26082804799079895,-0.2952170670032501
-0.26082804799079895,-0.2837540805339813
-0.26082804799079895,-0.27611204981803894
-0.26082804799079895,-0.2710174024105072
-0.24041633307933807,-0.2676209509372711
-0.24041633307933807,-0.2585527300834656
-0.2396358996629715,-0.2525072693824768
-0.23807501792907715,-0.24821680784225464
-0.23729458451271057,-0.2448362112045288
-0.30644071102142334,-0.24232234060764313
-0.3033873438835144,-0.2636951208114624
-0.1999959945678711,-0.27692586183547974
-0.19796237349510193,-0.25128257274627686
-0.19525088369846344,-0.23350918292999268
-0.19321726262569427,-0.2207564115524292
